TITLE,PARTNER COUNTRY,ADDITIONAL COUNTRY,SHORT DESCRIPTION,RELEVANT SOURCES,SOURCE_FILENAME,Accessibility,Inclusivity,Environmental measures,         SDGs,                    Efficient applications in HE
Machine Learning and Pattern Recognition  ,Greece,,"National Technical University of Athens (NTUA) – School of Electrical and Computer Engineering  Course. This graduate-level course covers fundamental and advanced topics in machine learning, including neural networks, deep learning, and reinforcement learning. Students engage in hands-on projects using Python and TensorFlow.  Methodology: Combines theoretical lectures with lab sessions and collaborative research projects.  Assessment: Project-based evaluations, written exams, and peer-reviewed presentations.",https://www.ece.ntua.gr/en/undergraduate/courses,IDEAL_Desk Research_AUTH-practices.csv,,,,,
Intelligent Systems and Robotics  Description,Greece,,"Aristotle University of Thessaloniki – Department of Informatics Course: Focuses on AI algorithms, robotics, and autonomous systems. Includes modules on computer vision and natural language processing.  Methodology: Problem-based learning (PBL) with real-world case studies and robotics lab experiments.  Assessment: Practical coding assignments, team-based robotics challenges, and written exams.",https://www.csd.auth.gr/en/studies/postgraduate-studies/,IDEAL_Desk Research_AUTH-practices.csv,,,,,
MSc in Artificial Intelligence and Data Analytics ,Greece,,"University of Piraeus – Department of Digital Systems Program: A postgraduate program integrating AI, big data, and business analytics. Topics include predictive modeling, AI ethics, and cloud computing.  Methodology: Industry partnerships for internships and applied research projects.  Assessment: Capstone projects, thesis dissertations, and hackathons.",https://www.ds.unipi.gr/en/msc-artificial-intelligence-and-data-analytics/,IDEAL_Desk Research_AUTH-practices.csv,,,,,
Intelligent Systems Laboratory  Initiative: AI and Robotics Research Lab,Greece,,"Hellenic Mediterranean University (HMU): Offers undergraduate and graduate modules in AI, robotics, and IoT. Students develop AI-driven robotics solutions.  Methodology: Project-based learning with emphasis on interdisciplinary collaboration.  Assessment: Prototype demonstrations, research papers, and participation in international competitions (e.g., RoboCup).",https://www.hmu.gr/research/intelligent-systems-lab/ ,IDEAL_Desk Research_AUTH-practices.csv,,,,,
AI in Humanities and Social Sciences,Greece,,"National & Kapodistrian University of Athens (NKUA) – Faculty of Philosophy: An interdisciplinary course exploring AI applications in linguistics, psychology, and ethics.  Methodology: Hybrid learning (online lectures + workshops) with debates on AI ethics.  Assessment: Reflective essays, group presentations, and participation in ethics panels.",https://en.philosophy.uoa.gr/courses/,IDEAL_Desk Research_AUTH-practices.csv,,,,,
AI for Education ,Greece,,"Erasmus+ KA2 Project – AI4EDU  A collaboration between Greek universities (e.g., University of Patras) and EU partners to integrate AI tools into teaching (e.g., automated grading, personalized learning).  Methodology: Workshops for educators on AI tools like chatbots and learning analytics platforms.  Assessment: Pilot testing of AI-driven assessment tools and feedback surveys.",https://www.ai4edu.eu,IDEAL_Desk Research_AUTH-practices.csv,,,,,
AI Summer Schools and Competitions  ,Greece,,"Hellenic Artificial Intelligence Society (EETN): EETN organizes annual events (e.g., AI Hackathons) with universities like NTUA and AUTH to promote AI innovation.  Methodology: Competitions focus on solving societal challenges using AI (e.g., healthcare, energy).  Assessment: Judging panels evaluate technical merit, creativity, and societal impact.",https://eetn.gr/en/activities/,IDEAL_Desk Research_AUTH-practices.csv,,,,,
Master's in Data Science and Artificial Intelligence  ,,Bulgaria,"Sofia University ""St. Kliment Ohridski"" – Faculty of Mathematics and Informatics Program: A postgraduate program focusing on machine learning, neural networks, and big data analytics. Includes modules on natural language processing (NLP) and AI ethics. Methodology: Combines lectures with hands-on labs using Python, TensorFlow, and PyTorch. Industry collaborations for real-world projects. Assessment: Coursework assignments, final projects, and thesis defenses.  ",https://www.fmi.uni-sofia.bg/en,IDEAL_Desk Research_AUTH-practices.csv,,,,,
Intelligent Systems and Robotics (Master's Program),,Bulgaria,"Technical University of Sofia – Faculty of Computer Systems and Control: Covers AI algorithms, robotics, and autonomous systems. Emphasizes reinforcement learning, computer vision, and IoT integration.  Methodology: Project-based learning with access to robotics labs and simulation tools like ROS (Robot Operating System). Assessment: Team robotics projects, written exams, and peer evaluations.",https://tu-sofia.bg/faculties/fkts/,IDEAL_Desk Research_AUTH-practices.csv,,,,,
Artificial Intelligence and Machine Learning,,Bulgaria,"Plovdiv University ""Paisii Hilendarski"" – Faculty of Mathematics and Informatics: Undergraduate course introducing AI fundamentals, including search algorithms, decision trees, and deep learning architectures. Methodology: Blended learning with online lectures via Moodle and in-person coding workshops. Assessment: Weekly quizzes, Kaggle-style competitions, and a final exam. ",https://www.uni-plovdiv.bg/en/,IDEAL_Desk Research_AUTH-practices.csv,,,,,
AI and Cognitive Systems (Master's),,Bulgaria,"New Bulgarian University – Department of Computer Science: Explores AI applications in cognitive science, including neural networks, knowledge representation, and human-AI interaction.  Methodology: Interdisciplinary approach with psychology and philosophy modules. Uses tools like MATLAB and OpenAI Gym. Assessment: Research papers, presentations, and collaborative AI model development. ",https://nbu.bg/en/departments/computer-science,IDEAL_Desk Research_AUTH-practices.csv,,,,,
AI Innovation Lab  ,,Bulgaria,"Burgas Free University – Department of Informatics: A research hub offering courses in AI-driven business solutions, predictive analytics, and chatbots. Partners with local tech startups.  Methodology: Agile development sprints and hackathons to solve industry challenges.  Assessment: Prototype demonstrations and pitch presentations to industry panels.",https://www.bfu.bg/en/departments/informatics,IDEAL_Desk Research_AUTH-practices.csv,,,,,
Erasmus+ Project – AI4BGEDU: AI Integration in Bulgarian Education ,,Bulgaria,"A collaboration between Bulgarian universities (e.g., University of Ruse) and EU partners to train educators in AI tools for personalized learning and automated assessment. Methodology: Workshops on AI platforms like Google Teachable Machine and LMS integration. Assessment: Pilot implementations in classrooms and feedback analysis.",https://erasmus-plus.ec.europa.eu/projects,IDEAL_Desk Research_AUTH-practices.csv,,,,,
AI and Big Data Analytics  ,,Bulgaria,"Institute of Information and Communication Technologies (IICT) – Bulgarian Academy of Sciences: Offers PhD programs and research modules in AI, focusing on healthcare AI, smart cities, and NLP for Balkan languages. Methodology: Collaborative research with EU projects (e.g., Horizon Europe).  Assessment: Peer-reviewed publications and conference presentations.",https://www.iict.bas.bg/,IDEAL_Desk Research_AUTH-practices.csv,,,,,
PhD-AI.it,Italy,,This program involves five interconnected PhD courses focusing on strategic sectors like health & life sciences and industry 4.0.,https://www.phd-ai.it/,IDEAL_Desk Research__CNR-ItalyPortugal-practices.csv,,,,,
Master in Artificial Intelligence and Humanities,Italy,,"The course empowers humanities specialists with practical and theoretical tools to design and develop AI systems, focusing on large language models (LLMs).",https://www2.almalaurea.it/cgi-asp/lau/corsi/dettaglioCorsi.aspx?ID=120004&lang=it,IDEAL_Desk Research__CNR-ItalyPortugal-practices.csv,,,,,
Bachelor in Philosophy and Artificial Intelligence,Italy,,"The program at Sapienza University of Rome combines philosophical inquiry with AI studies, emphasizing a multidisciplinary approach.",https://corsidilaurea.uniroma1.it/it/corso/2023/31774/home,IDEAL_Desk Research__CNR-ItalyPortugal-practices.csv,,,,,
HumanAIze,Italy,,"This interdisciplinary master's program at Politecnico di Torino integrates humanities with technology, focusing on AI and digital competencies.",https://www.polito.it/didattica/master-e-formazione-permanente/master-universitari/offerta-master-universitari/humanaize,IDEAL_Desk Research__CNR-ItalyPortugal-practices.csv,,,,,
Human-Centered Artificial Intelligence,Italy,,"A joint master's program offered by Universities of Milan, Milano-Bicocca, and Pavia, equipping students with interdisciplinary AI skills.",https://www.unimi.it/en/education/master-programme/human-centered-artificial-intelligence,IDEAL_Desk Research__CNR-ItalyPortugal-practices.csv,,,,,
Master’s Degree in Artificial Intelligence for Business and Society,Italy,,"A two-year program by IULM University in Milan, combining humanistic and technological disciplines to train professionals in AI and Big Data.",https://www.iulm.it/en/offerta-formativa/corsi-di-lauree-magistrali/intelligenza-artificiale-impresa-societa,IDEAL_Desk Research__CNR-ItalyPortugal-practices.csv,,,,,
AI Training for Teachers - ReadyAI,,Portugal,"ReadyAI offers teacher education programs in Portugal, providing immersive experiences in AI learning to equip educators with essential skills.",https://www.readyai.org/portugal,IDEAL_Desk Research__CNR-ItalyPortugal-practices.csv,,,,,
Elements of AI,,Portugal,"An online course designed to teach the basics of artificial intelligence, available in multiple languages and accessible to anyone interested in learning about AI.",https://en.wikipedia.org/wiki/Elements_of_AI,IDEAL_Desk Research__CNR-ItalyPortugal-practices.csv,,,,,
"AI, Data Science, and Machine Learning - CMU Portugal Academy",,Portugal,"This program offers foundational knowledge in data science, machine learning, and big data technologies, catering to professionals aiming to transition into the field.",https://academy.cmuportugal.org/data-science-and-machine-learning/,IDEAL_Desk Research__CNR-ItalyPortugal-practices.csv,,,,,
Digital Learning and ICT in Education,European Union Member States,,The European Commission aims to modernize education and training by funding research and innovation and promoting digital technologies for learning.,https://digital-strategy.ec.europa.eu/en/policies/digital-learning,IDEAL_Desk Research__CNR-ItalyPortugal-practices.csv,,,,,
TaLAI onlinr course (MOOC) and platform,DE,"FR, BE, NL","Developed in the framework of E+ project TaLAI: Teaching and Learning with AI in Higher Education (2023-2026). The course will be designed to develop digital literacy skills and capacities of academic teachers to ethically apply AI in their teaching practice. The platform has a focus on ethics, it gives info and recommendations, example of instructional designs and pedagogical approaches and has a forum. ",https://erasmus-plus.ec.europa.eu/projects/search/details/2023-1-DE01-KA220-HED-000153155,IDEAL_Research_SMART-practices.csv,,,,,
Asduni Course -  blended teaching methologies  and digital competence development of teachers in HE ,IT,,"Promote the enhancement of the university online platform and the digital skills of their teachers with the specific aim of initiating multimedia teaching processes in which students are able to develop online paths of collaborative, social, and inclusive knowledge construction. 6 learning modules, one of them on Learning and Teaching with Generative AI. ",https://www.unibs.it/it/faculty-development/metodologie-didattica-blended,IDEAL_Research_SMART-practices.csv,,,,,
"AI in Society - UNA Europa, MOOC from University of Helsinki",FI,,"Three basic free online courses on how AI impacts society, plus four additional modules with different focus (health, democracy, justice and discrimination). It is useful for students of any discipline, as well as anyone else who is interested in understanding the societal impact of AI and how AI technology is changing our everyday life. Does not require previous knowldge on AI.  ",https://courses.mooc.fi/org/uh-cs/courses/ai-in-society,IDEAL_Research_SMART-practices.csv,,,,,
L'Intelligence Artificielle... avec intelligence ! MOOC course of FUN - France Universitée Numerique,FR,,"10 hours of self-learning in French. It targets especially education professionals but also young students and citizens as a whole. Each module is structured around four learning stages based on active teaching methods and has quizzes and exercises:
- asking questions: deciphering the discourse surrounding AI,
- experiment: carry out an activity to see for yourself,
- discover: understand how things work through the history of humans and their ideas,
- debate: be able to discuss the subject. ",https://www.fun-mooc.fr/fr/cours/lintelligence-artificielle-avec-intelligence/,IDEAL_Research_SMART-practices.csv,,,,,
L'Observatoire de l'Intelligence artificielle de Paris 1 Panthéon-Sorbonne,FR,,"It aims to bring together the work of various research teams at the University of Paris 1 Panthéon-Sorbonne on the development of artificial intelligence (AI) in different disciplines, including computer science, mathematics, law, history, geography, philosophy, economics, management and the arts, in order to explore the impact of artificial intelligence on society by adopting a reflective and multidisciplinary approach. It has an ongoing collection of courses, projects and relevant articles and publications, plus a list of professors and researchers involved in AI-related research. ",https://observatoire-ia.pantheonsorbonne.fr,IDEAL_Research_SMART-practices.csv,,,,,
Intelligence artificielle pour et par les enseignants MOOC course of FUN - France Universitée Numerique ,FR,,"3 hours self-learning in French. The aim of this course is to help teachers and the educational community as a whole to gain a general understanding of AI - its uses, technologies and limitations, and to guide them towards an informed use of AI-based tools in the context of Education. It helps participants form their own opinions on the following questions:
What is AI used for in the context of education?
What type of AI for what purpose?
What are the benefits and challenges?
How can AI-based resources be used?
What impact can we expect in teaching and learning practices?",https://www.fun-mooc.fr/fr/cours/intelligence-artificielle-pour-et-par-les-enseignants-ai4t/,IDEAL_Research_SMART-practices.csv,,,,,
Intelligences artificielles génératives - Universitée de Bordeaux ,FR,,"The University of Bordeaux is providing the teaching community with a series of teaching resources to help them understand how generative AIs such as ChatGPT work, their advantages and limitations, and the different uses that students, teachers and tutors can make of them. Enable teachers to identify the impact of these technologies on their learning and teaching activities, and to adopt the most appropriate strategies according to their sensitivity, context and practices.",https://enseigner.u-bordeaux.fr/outils-et-ressources/IAG,IDEAL_Research_SMART-practices.csv,,,,,
"Intelligence Artificielle Générative pour l’enseignement : Découvrez ChatGPT, Perplexity, Gemini, et plus encore - University of Geneva",CH,,The aim with this evolving guide is to help univesity teachers discover and use text generative AI (in particular ChatGPT or similar) as part of your university teaching activities. It has several concrete examples. ,https://view.genially.com/642e8b666cba7a0011ef4154?utm_medium=social&utm_source=linkedin,IDEAL_Research_SMART-practices.csv,,,,,
Künstliche Intelligenz,Germany,,"Collection of training sessions, courses, and contributions for promoting skills in the context of image and text generators for use in education at universities.",https://www.mmkh.de/schulungen/kuenstliche-intelligenz.html,IDEAL_Desk Research_HRW_Germany-practices.csv,,,,,
KI-Kompetenzen stärken,Germany,,Collection of training sessions and courses to promote competencies related to AI in higher education teaching.,https://www.vcrp.de/digitale-lehre/ki-weiterbildung/vcrp-angebote-zu-ki/,IDEAL_Desk Research_HRW_Germany-practices.csv,,,,,
KI-Campus,Germany,,E-learning platform for companies and (public) organizations for continuing education on artificial intelligence with target group-specific learning offerings. Networking with other stakeholders in business and education/research. ,https://fernuni-ki-campus.fernuni-hagen.de/hub/,IDEAL_Desk Research_HRW_Germany-practices.csv,,,,,
KI in der Hochschulpraxis,Germany,,Collection of events and lectures on the use of AI in higher education practice.,https://www.e-teaching.org/praxis/themenspecials/ki-in-der-hochschulpraxis,IDEAL_Desk Research_HRW_Germany-practices.csv,,,,,
Generative KI trifft auf Hochschule: Eine Zeitreise vom „Urknall“ bis heute,Germany,,Lecture on the development and changes in the use of Generative Artificial Intelligence up to now.,https://www.e-teaching.org/community/communityevents/ringvorlesung/generative-ki-trifft-auf-hochschule-eine-zeitreise-vom-urknall-bis-heute,IDEAL_Desk Research_HRW_Germany-practices.csv,,,,,
Institut für Angewandte Trainigswissenschaften,Germany,,"Quantitative, video-based motion analyses to optimise processes, identify performance reserves and derive recommendations for action. To further increase data quality, Simi Motion Systems has further developed the software thanks to the use of artificial intelligence (AI). The neural network can detect the sport-specific movement and continues to learn with each analysis, thereby increasing its accuracy.",https://waip.iks.cs.ovgu.de/wp/institut-fuer-angewandte-trainingswissenschaft/,IDEAL_Desk Research_HRW_Germany-practices.csv,,,,,
MoVeKI2EAH,Germany,," MoVeKI2EAH. Development of AI teaching units that can be used in all Bachelor's and Master's degree programmes at the university in the fields of business, technology, health and social sciences.",https://www.eah-jena.de/moveki2eah/informationen,IDEAL_Desk Research_HRW_Germany-practices.csv,,,,,
AIDAHO,Germany,,"Supplementary courses for students at the University of Hohenheim on the topics of AI and Data Science. The courses include technical modules (such as basics in Python, R, and SQL), methodological seminars, and practical examples. The courses are free for students of the University of Hohenheim.",https://aidaho.uni-hohenheim.de/en,IDEAL_Desk Research_HRW_Germany-practices.csv,,,,,
KI für KMU: LLM Literacy im Unternehmen,Germany,,Competence center for promoting skills in the context of Large Language Models (LLM). Training opportunities for educators and businesses. Resources in the form of audio contributions and presentations.,https://llm-literacy.de/ki-fuer-kmu/,IDEAL_Desk Research_HRW_Germany-practices.csv,,,,,
AI4matter,Germany,, Competence network for consulting and integration of AI in processes and workflows in the manufacturing industry. Consortium consisting of eight European countries.,http://ai-matter.eu,IDEAL_Desk Research_HRW_Germany-practices.csv,,,,,
AIDUCATION'25,,Romania,"AIDUCATION’25, Cambridge School of Bucharest. Implementing AI in schools",https://www.cambridgeschool.ro/aiducation25/,IDEAL_Desk Research_HRW_Romania-practices.csv,,,,,
I.A.S.I. 2024 – Artificial Intelligence in the Education System 2024 – the perspectives of education in the era of the technological revolution.,,Romania," Iași City Hall in partnership with ""Alexandru Ioan Cuza"" University, Iași County School Inspectorate, IAȘI AI community and ASII are organising ""I.A.S.I. 2024 – Artificial Intelligence in the Education System 2024 – the perspectives of education in the era of the technological revolution."", a series of workshops aiming to increase the level of cooperation and connection of the network of professionals in the educational and technological field, in order to develop measures and public policies aimed at developing the digital skills of young people and teachers in Romania, in order to facilitate the effective integration of technology in the educational process.",https://iasi.ai/initiatives/ai-in-education/,IDEAL_Desk Research_HRW_Romania-practices.csv,,,,,
Teaching AI with robots in school -Romania.,,Romania," Understanding AI concepts in education, identify and mitigate risks in education, develop a structered plan for AI integration",https://www.makeblock.com/products/teaching-ai-with-robots-in-schools,IDEAL_Desk Research_HRW_Romania-practices.csv,,,,,
 Microsoft Learn for Educators – Cybersicherheit und KI-Bootcamp,,Romania,Bei dem Kurs geht es darum Lehrer zu unterstützen KI in den Lehrplan zu integrieren und in Cybersicherheit zu schulen. Kurse werden auch in Rumäninen angeboten,https://learn.microsoft.com/de-de/training/educator-center/programs/msle/cybersecurity-and-ai-bootcamp?utm_source=chatgpt.com,IDEAL_Desk Research_HRW_Romania-practices.csv,,,,,
Digital Transformation  of Higher Education Systems,,Romania,This Paper try to outline a model of digital transformation strategy applicable to the Romanian academic environment. Also establishing the key pillars elements and necessary stages for the implementation of digital transformation strategy for higher education,https://intapi.sciendo.com/pdf/10.2478/kbo-2022-0025,IDEAL_Desk Research_HRW_Romania-practices.csv,,,,,
EIT Deep Tech Talent Initiative,,Romania,"The Technical University of Cluj-Napoca (TUCN) is part of the EIT Deep Tech Talent Initiative, aiming to train one million people in deep tech by 2025. TUCN contributes its expertise in AI and machine learning through research groups focused on areas like pattern recognition, deep learning, and computer vision. It offers courses on AI applications in biomedical engineering, energy, and other fields, strengthening Europe's position in global innovation.",https://www.eitdeeptechtalent.eu/the-pledge/meet-the-pledgers/technical-university-of-cluj-napoca/,IDEAL_Desk Research_HRW_Romania-practices.csv,,,,,
First AI course for pre-university education in Romania,,Romania,"Organised and supported by ARIA (Romanian Association for Artificial Intelligence) and UPIR (Union of Informatics Teachers in Romania), the first artificial intelligence course for pre-university education in Romania is developed and led by Bitdefender specialists, professors from the National College ‘Mircea cel Bătrân’ Râmnicu Vâlcea and Google DeepMind UK specialists.",https://digital-skills-jobs.europa.eu/en/inspiration/good-practices/first-ai-course-pre-university-education-romania,IDEAL_Desk Research_HRW_Romania-practices.csv,,,,,
Digital Challenge in Higher Education (D-ChallengHE) ,,Romania,"The project ” Digital Challenge in Higher Education” (D-ChallengHE) aims at highlighting experiences, practices, teaching staff competences in digital fields, with the intent to identify and organise the best methods and strategies in online learning, in digitalization of curriculum, in the use of digital resources and open distance education.",https://edict.ro/a-framework-to-approach-digital-education-and-cpd-in-higher-education/,IDEAL_Desk Research_HRW_Romania-practices.csv,,,,,
Prosperity4All  – EU Horizon 2020 Project ,Greece,,University of the Aegean: This EU-funded Horizon 2020 project aimed to create a global ecosystem for accessibility solutions. ,https://cordis.europa.eu/project/id/610510,IDEAL_Desk Research_AUTH-cases.csv,,The project emphasized inclusive design in ICT,,"Quality education (SDG 4), Reduced inequalities (SDG 10)","The University of the Aegean contributed to developing AI-driven tools for personalized accessibility, such as adaptive interfaces for people with disabilities. "
SignON – EU Horizon 2020 Project ,Greece,"Spain, Ireland, Netherlands","While primarily focused on Irish, Dutch, and Spanish sign languages, Greek institutions like the Institute for Language and Speech Processing (ILSP) at the Athena Research Center contributed expertise in natural language processing (NLP) and machine translation.",https://signon-project.eu/,IDEAL_Desk Research_AUTH-cases.csv,Accessible for individuals with hearing problems ,,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",The project’s framework could inspire similar tools for Greek Sign Language (GSL). 
Greek Sign Language Synthesis – University of Patras  ,Greece,,Researchers at the University of Patras developed an AI-based system to synthesize Greek Sign Language (GSL) animations from written Greek text. This tool aids communication for the deaf community by converting text into animated avatars performing GSL.,https://link.springer.com/chapter/10.1007/978-3-030-49108-6_18,IDEAL_Desk Research_AUTH-cases.csv,Accessible for individuals with hearing problems ,,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",
AI for Refugee Integration – METAdrasi  ,Greece,,"Greek NGO METAdrasi, in collaboration with tech partners, uses AI-driven translation tools to break language barriers for refugees and migrants. Projects include real-time multilingual chatbots and language-learning apps to support integration.  ",https://metadrasi.org/en/,IDEAL_Desk Research_AUTH-cases.csv,,Refugee support,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",
Accessible Tourism Initiatives – GNTO Collaboration  ,Greece,,"The Greek National Tourism Organization (GNTO) promotes AI-driven platforms like ""Accessible Greece,"" which uses machine learning to map wheelchair-friendly routes, recommend accessible accommodations, and provide real-time info for tourists with disabilities.",https://www.accessiblegreece.com/,IDEAL_Desk Research_AUTH-cases.csv,Acessibility for individuals with physical impairment,Disabled tourists,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",
Easy Reading – Inclusive Digital Environments  ,Greece,,"Greece participated in this EU project to create AI-powered tools for people with cognitive disabilities. The project included text simplification, symbol-based communication, and adaptive interfaces, with contributions from Greek NGOs and universities.",https://www.easyreading.eu/,IDEAL_Desk Research_AUTH-cases.csv,People with cognitive diabilities,,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",
AI-Powered Assistive Robotics – National Technical University of Athens (NTUA)  ,Greece,,"NTUA’s Control Systems Lab researches AI-driven assistive robots for mobility and daily task support, targeting elderly individuals and people with motor disabilities. Projects include smart wheelchairs and robotic arms.  ",https://www.csl.ece.ntua.gr/en,IDEAL_Desk Research_AUTH-cases.csv,Acessibility for individuals with physical impairment,,,"Good health and well-being (SDG 3), Quality education (SDG 4), Reduced inequalities (SDG 10), Sustainable cities and communities (SDG 11)",
AI for Inclusive Education – University of Thessaly,Greece,,The University of Thessaly explores AI tools like automated captioning and personalized learning platforms to support students with hearing impairments or learning disabilities in Greek schools.  ,https://www.uth.gr/en/research,IDEAL_Desk Research_AUTH-cases.csv,Accessible for individuals with hearing problems ,Targets individuals with hearing problems,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",
Bulgarian Sign Language Recognition Project,,Bulgaria,"Researchers at Sofia University are developing AI models to recognize Bulgarian Sign Language (BgSL), aiming to translate gestures into text or speech. ",https://www.uni-sofia.bg/,IDEAL_Desk Research_AUTH-cases.csv,Accessible for individuals with hearing problems ,Targets individuals with hearing problems,,"Quality education (SDG 4), Reduced inequalities (SDG 10)","This project involves creating a dataset of BgSL gestures and training neural networks for real-time interpretation, enhancing communication for the deaf community."
AI-Driven Text-to-Speech for Bulgarian  ,,Bulgaria,An initiative to improve accessibility for visually impaired individuals by developing advanced AI-powered text-to-speech (TTS) systems tailored for the Bulgarian language..,http://www.uub.bg/,IDEAL_Desk Research_AUTH-cases.csv,Accessible for individuals who are visually impaired ,Targets visually impaired individuals ,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",This project involves natural language processing (NLP) to handle Cyrillic script and regional dialects. Collaboration with Bulgarian Union of the Blind.
Educational AI for Inclusive Learning  ,,Bulgaria,Plovdiv University explores AI-driven platforms to adapt educational content for students with disabilities. ,https://uni-plovdiv.bg/,IDEAL_Desk Research_AUTH-cases.csv,,Includes automated transcription services or personalized learning tools for dyslexic students,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",
AI-Powered Mobility Navigation in Sofia,,Bulgaria,"LaunchHub, a startup organises this municipal project that develops an AI app to map wheelchair-accessible routes in Sofia, using computer vision to assess sidewalk conditions or public transport accessibility.",https://launchhub.net/,IDEAL_Desk Research_AUTH-cases.csv,Acessibility for individuals with physical impairment,,,"Good health and well-being (SDG 3), Quality education (SDG 4), Reduced inequalities (SDG 10), Sustainable cities and communities (SDG 11)",
Roma Language Preservation via NLP,,Bulgaria,"The NGO Open Society Institute in Sofia collaborates with tnhe University of Sofia to preserve and digitize the Romani language, developing translation tools or educational resources to support Roma communities.",https://osis.bg/,IDEAL_Desk Research_AUTH-cases.csv,,ROMA ,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",Translation and writing in Romani language as well as teaching Romani.
Real-Time Captioning for Lectures,,Bulgaria,"Technical University of Sofia pilots AI systems for automatic speech recognition (ASR) to generate real-time captions during lectures, aiding deaf or hard-of-hearing students.",https://www.tu-sofia.bg/,IDEAL_Desk Research_AUTH-cases.csv,Accessible for individuals with hearing problems ,Targets individuals with hearing problems,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",
Arizona Online-Only Charter School,DE,USA,"A company named Unbound Academy has received permission to operate an online-only charter school in Arizona, that provides just two hours per day of personalized learning programs in academics from companies like IXL and Khan Academy. No teachers will be involved, as an AI that tracks progress and assignments individually. The intended grades are four to eight. Aditional courses will be held by so called ""guides"" for ""life-skill workshops"". Charter schools are private but funded by government. Many charter schools are operated to remove or add specific topics from the curriculum, mostly for religious reasons. Critics state that Unbound is simply ""AI washing"" their concept to grab a bigger market share by exploting regulations loopholes.",https://danmeyer.substack.com/p/the-truth-about-2-hour-learning-and https://techcrunch.com/2024/12/20/arizonas-getting-an-online-charter-school-taught-entirely-by-ai/,IDEAL_Desk Research Q21-cases.csv,There is a small chance that the concept allows the general public to access a charter school. ,The online-only mode with an personalized AI could adapt to people with special needs.,If the approach really does work the amount of travelling could be reduced.,,
Salesforce Agentforce,DE,USA,"Salesforce Agentforce is the AI component for automating customer support and tracking student experience. Salesforce is a comercial platform for CRM and offers a special platform for educational institutions. This platform documents every contact and tracks the entire education and graduation process, maintains a tight connection to teachers and students and tries to ensure student success. Agentforce ist mostly a chatbot with AI extensions, which is capable to automate typical task like assignments, scheduling and answer student questions. Salesforce is popular for commercial institutions and expensive.",https://www.salesforce.com/agentforce/,IDEAL_Desk Research Q21-cases.csv,A competent chatbot  can lower the hurdle for students to contact the university. As each interaction might be documented the support quality caould be improved.,"By default AI-driven chatbots deliver a neutral, non-discrimintaing environment an will adjust to serve special needs, without sparking a feeling of guilt for the recipient.",There is no direct positive impact to the environment.,"More documented contacts allow for adjustment in the curriculum, to resolve the most popular support requests and improve the tracks in general.","For commercial institutions the improved contact and feedback handling can improve the service, so reviews will improve. Marketing sees this is as a big win."
Educause Research Paper: The Future of AI in Higher Education,DE,USA,Educause is a nonprofit association of educational organisations. They provide a widespread oversight about various topics. This specific resource delivers an outlookover the US higher educational approach to AI through a survey in 2024.,https://www.educause.edu/ecar/research-publications/2024/2024-educause-ai-landscape-study/introduction-and-key-findings,IDEAL_Desk Research Q21-cases.csv,-,-,There is no direct positive impact to the environment.,-,-
Texas AI based redesign of the STAAR test,DE,USA,"The STAAR test, which measures students’ understanding of state-mandated core curriculum, was redesigned in 2023 to include more open-ended questions. These so-called constructed response items take way more time than multiple choice questions when scoring the responses, so a new system has been put into action. An AI will score the results first, giving an confidence interval, and humans will re-score if this intervall is low or students complain. If a human rescoring is demanded by students, these will have to pay a fee of 50$, which is canceled only when the scoring improves by this process.",https://tea.texas.gov/student-assessment/staar https://www.texastribune.org/2024/04/09/staar-artificial-intelligence-computer-grading-texas/,IDEAL_Desk Research Q21-cases.csv,This test is a baseline scoring test for all pupils and is easy accessible., AI automated scoring can improve equality of the scores. ,There is no direct positive impact to the environment.,-,"The test is decisive for the applicant selection process, so any improvement is relevant."
